Date,Open,High,Low,Close,Adj Close,Volume
2009-3-18,26.24,27.93,25.700001,27.469999,21.380095,17978500
2009-3-19,27.969999,28.85,27.77,28.41,22.111706,17542700
2009-3-20,28.629999,28.9,26.73,27.07,21.068773,16531300
2009-3-23,28.139999,29.65,27.530001,29.629999,23.061237,14463000
2009-3-24,29.540001,30.33,28.540001,29.4,22.882229,13690200
2009-3-25,30.139999,30.99,27.690001,28.91,22.500856,20700600
2009-3-26,29.57,30.98,29.450001,30.780001,23.956293,16161100
2009-3-27,30.200001,30.74,29.75,30.35,23.621624,11277500
2009-3-30,29.34,29.5,27.049999,27.530001,21.426792,15827700
2009-3-31,28.16,28.450001,27.440001,27.959999,21.761465,13405900
2009-4-1,27.5,29.52,27.440001,28.99,22.563118,15308300
2009-4-2,30.290001,31.98,30,31.540001,24.547808,21643000
2009-4-3,31.6,32.700001,30.92,32.150002,25.022575,13674000
2009-4-6,31.719999,32,30.23,31.309999,24.368792,11067500
2009-4-7,30.389999,30.5,29.379999,29.450001,22.921141,13156900
2009-4-8,29.77,30.35,28.879999,29.57,23.014545,12817200
2009-4-9,30.51,32.700001,30.51,32.52,25.310545,18171400
2009-4-13,32.25,33.560001,31.48,33.16,25.808666,12458400
2009-4-14,32.669998,33.939999,32.41,32.700001,25.450644,11034600
2009-4-15,32.599998,33.200001,32.07,33.02,25.699703,11224800
2009-4-16,32.5,33.119999,31.33,32.709999,25.786417,16226000
2009-4-17,32.68,32.720001,31.209999,32.290001,25.455318,14723000
2009-4-20,31.620001,31.620001,30.17,30.48,24.028431,14373800
2009-4-21,28.98,31.700001,28.5,31.389999,24.745819,29526100
2009-4-22,31.559999,34.919998,31.4,32.450001,25.581453,29665400
2009-4-23,32.73,32.740002,31.469999,32.450001,25.581453,16288600
2009-4-24,32.650002,34.189999,32.240002,33.630001,26.511692,15805800
2009-4-27,32.73,34.099998,32.689999,33.389999,26.322487,9647500
2009-4-28,33,33.549999,32.400002,32.779999,25.8416,8480400
2009-4-29,33.169998,34.150002,33,33.689999,26.558985,11981200
2009-4-30,34.419998,36.400002,34.349998,35.580002,28.048946,20103300
2009-5-1,35.869999,37.709999,35.650002,37.259998,29.373331,14113400
2009-5-4,37.93,38.919998,37.599998,38.48,30.33511,14399700
2009-5-5,38.349998,39.580002,38.25,39.41,31.068251,13609800
2009-5-6,39.939999,40.639999,38.41,40,31.533377,14755200
2009-5-7,40.540001,40.959999,37.209999,37.919998,29.893641,16972200
2009-5-8,38.490002,39.919998,38.279999,39.639999,31.249569,15556000
2009-5-11,38.75,39.080002,38.07,38.43,30.295694,9486400
2009-5-12,38.740002,39,37.130001,38.060001,30.004009,11919800
2009-5-13,36.970001,37.029999,35.779999,36.080002,28.443108,13415600
2009-5-14,35.869999,36.779999,35.380001,36.07,28.435225,12056100
2009-5-15,36.060001,36.950001,35.150002,35.740002,28.17507,14010000
2009-5-18,36.529999,37.82,36.110001,37.779999,29.783274,11012400
2009-5-19,38.290001,38.5,37.540001,37.669998,29.696556,10539200
2009-5-20,38.09,39.299999,37.169998,37.299999,29.404873,13806100
2009-5-21,36.759998,37.009998,35.369999,35.540001,28.01741,14108000
2009-5-22,36.049999,36.099998,34.18,34.310001,27.047758,14292900
2009-5-26,34.380001,35.84,34.029999,35,27.591705,13792600
2009-5-27,35.5,35.59,34.849998,35.049999,27.631121,13517600
2009-5-28,34.790001,34.799999,33.439999,34.59,27.268482,15118800
2009-5-29,34.959999,35.619999,34.790001,35.459999,27.954334,11076700
2009-6-1,36.369999,37.73,36.349998,37.549999,29.601963,14336900
2009-6-2,37.509998,37.950001,37.189999,37.450001,29.523125,7734900
2009-6-3,37,37.209999,36.23,36.66,28.900335,9236400
2009-6-4,36.860001,38.220001,36.279999,38.02,29.972475,11317900
2009-6-5,38.52,38.759998,37.34,38.470001,30.327234,15819100
2009-6-8,38.029999,38.880001,36.900002,38.57,30.406057,13725300
2009-6-9,38.5,38.900002,37.900002,38.240002,30.145914,10475400
2009-6-10,38.740002,38.75,36.93,37.619999,29.657141,14923900
2009-6-11,37.790001,38.290001,37.25,37.610001,29.649261,10273800
2009-6-12,37.470001,37.77,37.02,37.73,29.743862,8567400
2009-6-15,37.009998,37.09,35.869999,36.119999,28.474632,10456700
2009-6-16,36.459999,36.970001,35.389999,35.560001,28.033173,12501500
2009-6-17,35.200001,35.27,33.75,34.799999,27.434031,15381900
2009-6-18,34.919998,34.93,33.549999,34.080002,26.866446,16245700
2009-6-19,34.450001,34.599998,33.450001,33.650002,26.527458,14484700
2009-6-22,33.459999,33.490002,32.009998,32.360001,25.510498,14197900
2009-6-23,32.470001,33.150002,32.139999,33,26.01503,10935700
2009-6-24,33.52,34.360001,33.130001,33.400002,26.330372,10348300
2009-6-25,33.919998,34.790001,33.18,34.490002,27.189665,11633400
2009-6-26,34.540001,35.200001,34.099998,34.560001,27.244843,12586700
2009-6-29,34.860001,35.299999,34.150002,34.740002,27.386738,6831400
2009-6-30,34.689999,34.740002,32.990002,33.040001,26.046564,16878900
2009-7-1,33.48,34.150002,33.150002,33.189999,26.164814,11585100
2009-7-2,32.790001,32.790001,31.74,31.74,25.021727,13560800
2009-7-6,31.57,31.83,30.959999,31.700001,24.990206,10887100
2009-7-7,31.620001,31.77,30.24,30.290001,23.878647,14612100
2009-7-8,30.49,30.709999,30.01,30.58,24.107262,15867800
2009-7-9,31.15,31.34,30.58,30.65,24.162451,10181900
2009-7-10,30.4,30.65,30.030001,30.530001,24.067844,10456100
2009-7-13,30.809999,31.799999,30.25,31.799999,25.069036,11100500
2009-7-14,31.5,31.959999,31.219999,31.93,25.171518,10124900
2009-7-15,32.389999,33.970001,32.389999,33.84,26.677233,18065800
2009-7-16,33.599998,34.259998,33.139999,34.150002,27.259962,10224700
2009-7-17,33.98,34.299999,33.790001,33.990002,27.13224,8814500
2009-7-20,35.32,36.75,35.25,36.650002,29.255552,21979800
2009-7-21,40.810001,41.450001,38.040001,39.459999,31.498621,62789300
2009-7-22,38.470001,39.389999,38.099998,38.66,30.860022,16656500
2009-7-23,38.759998,41.5,38.599998,41.259998,32.935448,19367900
2009-7-24,40.93,42.080002,40.25,42,33.526146,17007900
2009-7-27,41.849998,42.990002,41.549999,42.860001,34.212639,14323100
2009-7-28,42.34,43.580002,41.900002,42.900002,34.244556,16693600
2009-7-29,42.540001,42.549999,41.299999,41.830002,33.390457,12387200
2009-7-30,42.650002,43.869999,42.610001,43.41,34.65168,14918100
2009-7-31,43.259998,44.470001,43,44.060001,35.170536,11731800
2009-8-3,44.68,45.490002,44.34,45.119999,36.01667,12258800
2009-8-4,45.450001,47.950001,45.349998,47.889999,38.227798,25328500
2009-8-5,47.759998,48.080002,46.43,46.639999,37.229996,15593200
2009-8-6,47.119999,47.799999,46.560001,47.139999,37.629112,12246500
2009-8-7,47.950001,48.220001,47.419998,47.779999,38.139977,15352200
2009-8-10,47.59,48.200001,46.59,47.150002,37.637096,11555300
2009-8-11,46.77,46.799999,45.029999,46.279999,36.942623,13091100
2009-8-12,45.900002,48.049999,45.599998,47.580002,37.980343,11464600
2009-8-13,48.02,48.060001,46.639999,47.169998,37.653065,9605800
2009-8-14,47.169998,47.25,45.439999,46,36.719116,9107200
2009-8-17,44.75,44.75,43.279999,43.950001,35.082722,11384300
2009-8-18,44.200001,45.279999,44.060001,45.110001,36.008678,8892000
2009-8-19,44,45.75,43.599998,45.169998,36.056572,9045000
2009-8-20,44.93,45.639999,44.66,45.5,36.32,6887900
2009-8-21,46.029999,47.330002,45.619999,47.299999,37.756832,12327500
2009-8-24,47.900002,48.93,47.34,47.560001,37.964371,9772600
2009-8-25,47.790001,48.330002,47.360001,47.830002,38.179905,9574900
2009-8-26,47.709999,47.759998,46.75,47.25,37.716915,7900100
2009-8-27,47,47.360001,45.919998,47.080002,37.581223,8307200
2009-8-28,47.580002,48,46.259998,46.709999,37.285866,7568400
2009-8-31,45.77,45.900002,44.900002,45.310001,36.168339,10475100
2009-9-1,44.900002,46.509998,43.740002,43.84,34.994919,13899800
2009-9-2,43.84,44.040001,43.189999,43.509998,34.731487,8886000
2009-9-3,44.310001,45.119999,43.630001,45.040001,35.952812,8784300
2009-9-4,45.029999,46.32,44.84,46.110001,36.806919,7398500
2009-9-8,46.900002,47.27,46.360001,46.970001,37.493408,7448100
2009-9-9,47.040001,48.75,46.5,48.41,38.642883,12361900
2009-9-10,48.130001,48.75,47.630001,48.689999,38.866398,8196200
2009-9-11,48.720001,49.110001,47.810001,48.529999,38.73867,9760200
2009-9-14,48.02,49.099998,47.75,48.77,38.930256,6909200
2009-9-15,49.110001,52.119999,48.650002,51.700001,41.269089,20593500
2009-9-16,52.310001,52.939999,51.939999,52.619999,42.00349,12789100
2009-9-17,52.59,54.470001,52.509998,53.889999,43.017242,15284900
2009-9-18,54.110001,54.490002,52.939999,53.419998,42.642075,12397800
2009-9-21,52.68,53.43,51.82,52.459999,41.875767,10109400
2009-9-22,52.990002,54.43,52.860001,54.34,43.376446,11179500
2009-9-23,54.43,54.709999,53.110001,53.139999,42.418568,9615400
2009-9-24,53.279999,53.799999,51.099998,51.849998,41.388836,11799300
2009-9-25,52.169998,52.720001,51.049999,51.200001,40.869984,10786700
2009-9-28,51.75,52.400002,51.25,52.18,41.652248,6040400
2009-9-29,52.23,52.889999,51.490002,51.599998,41.189259,7536500
2009-9-30,52.200001,52.470001,50.369999,51.330002,40.973755,10647200
2009-10-1,50.82,51.09,49.299999,49.450001,39.473053,12845600
